name,line,kw,readers_count,writers_count,readers,writers
"TEACHER_STUDENTS_HARD_TIMEOUT_MS",149,const,1,1,"refreshTeacherStudentSelect","getActiveTeacherFilterId"
"TEACHER_STUDENTS_SOFT_TIMEOUT_MS",150,const,1,1,"refreshTeacherStudentSelect","getActiveTeacherFilterId"
"TEACHER_STUDENTS_STATUS_DELAY_MS",151,const,1,1,"refreshTeacherStudentSelect","getActiveTeacherFilterId"
"TEACHER_SELECTED_STUDENT_TTL_MS",159,const,1,1,"readTeacherSelectedStudentId","isStudentLikeHome"
"_TEACHER_STATS_SEQ",239,let,1,1,"loadTeacherStudentStats","setTeacherStudentViewUI"
"TEACHER_DASH_TIMEOUT_MS",240,const,1,1,"loadTeacherStudentStats","setTeacherStudentViewUI"
"_STATS_SEQ",526,let,1,1,"refreshStudentLast10","refreshTeacherStudentSelect"
"_HOME_STATS_LOADING",528,let,0,2,"","refreshTeacherStudentSelect|setHomeStatsLoading"
"HOME_LAST10_CACHE_VER",533,const,1,1,"homeLast10CacheKey","refreshTeacherStudentSelect"
"HOME_LAST10_SESSION_TTL_MS",534,const,1,1,"loadHomeLast10Cache","refreshTeacherStudentSelect"
"HOME_LAST10_LOCAL_TTL_MS",535,const,1,1,"loadHomeLast10Cache","refreshTeacherStudentSelect"
"_LAST10_LIVE_READY",610,let,0,2,"","saveHomeLast10Cache|initStudentLast10LiveRefresh"
"_LAST10_DEBOUNCE_T",612,let,0,2,"","saveHomeLast10Cache|scheduleStudentLast10Refresh"
"_LAST10_LAST_FORCE_AT",613,let,0,2,"","saveHomeLast10Cache|refreshStudentLast10"
"LAST10_FORCE_MIN_INTERVAL_MS",614,const,1,1,"refreshStudentLast10","saveHomeLast10Cache"
"LAST10_BOOT_RETRY_MAX",619,const,1,1,"refreshStudentLast10","saveHomeLast10Cache"
"LAST10_BOOT_DEADLINE_MS",620,const,1,1,"refreshStudentLast10","saveHomeLast10Cache"
"LAST10_TOKEN_MIN_TTL_SEC",621,const,1,1,"refreshStudentLast10","saveHomeLast10Cache"
