selector,kind,prod_count,bucket,pages
".hw-ans-line",class,3,shared,"trainer|hw|analog"
".hw-bottom",class,3,shared,"trainer|hw|analog"
".hw-panel",class,3,shared,"trainer|hw|analog"
".hw-review-answers",class,3,shared,"trainer|hw|analog"
".hw-review-controls",class,3,shared,"trainer|hw|analog"
".hw-summary-head",class,3,shared,"trainer|hw|analog"
".modal-backdrop",class,3,shared,"home_student|home_teacher|hw_create"
".modal-card",class,3,shared,"home_student|home_teacher|hw_create"
".modal-head",class,3,shared,"home_student|home_teacher|hw_create"
".modal-title",class,3,shared,"home_student|home_teacher|hw_create"
".nav",class,3,shared,"home_teacher|trainer|hw_create"
".q-card",class,3,shared,"trainer|hw|analog"
".section-title",class,3,shared,"home_student|home_teacher|unique"
".spacer",class,3,shared,"home_student|home_teacher|unique"
".stat-gray",class,3,shared,"home_student|home_teacher|my_students"
".stat-green",class,3,shared,"home_student|home_teacher|my_students"
".stat-lime",class,3,shared,"home_student|home_teacher|my_students"
".stat-red",class,3,shared,"home_student|home_teacher|my_students"
".stat-yellow",class,3,shared,"home_student|home_teacher|my_students"
".tp-ctr-btn",class,3,shared,"home_student|home_teacher|hw_create"
".tp-ctr-cap",class,3,shared,"home_student|home_teacher|hw_create"
".tp-ctr-val",class,3,shared,"home_student|home_teacher|hw_create"
".tp-fig",class,3,shared,"home_student|home_teacher|hw_create"
".tp-hint",class,3,shared,"home_student|home_teacher|hw_create"
".tp-item",class,3,shared,"home_student|home_teacher|hw_create"
".tp-item-left",class,3,shared,"home_student|home_teacher|hw_create"
".tp-item-meta",class,3,shared,"home_student|home_teacher|hw_create"
".tp-item-right",class,3,shared,"home_student|home_teacher|hw_create"
".tp-item-stem",class,3,shared,"home_student|home_teacher|hw_create"
".tp-list",class,3,shared,"home_student|home_teacher|hw_create"
".tp-main-actions",class,3,shared,"home_student|home_teacher|hw_create"
".tp-preview",class,3,shared,"home_student|home_teacher|hw_create"
"#accordion",id,3,shared,"home_student|home_teacher|unique"
"#restart",id,3,shared,"trainer|list|hw"
".actions",class,4,shared,"trainer|stats|student|profile"
".bad",class,4,shared,"trainer|hw|my_homeworks_archive|analog"
".controls",class,4,shared,"home_student|hw_create|stats|student"
".cov",class,4,shared,"home_student|home_teacher|stats|student"
".icon-btn",class,4,shared,"hw_create|student|my_homeworks|profile"
".list-meta",class,4,shared,"trainer|list|hw|analog"
".mode-btn",class,4,shared,"home_student|trainer|hw|analog"
".mode-toggle",class,4,shared,"home_student|trainer|hw|analog"
".print-ans-line",class,4,shared,"trainer|list|unique|hw"
".run-body",class,4,shared,"trainer|list|hw|analog"
".video-solution-btn",class,4,shared,"trainer|unique|hw|analog"
".video-solution-missing",class,4,shared,"trainer|unique|hw|analog"
".video-solution-slot",class,4,shared,"trainer|unique|hw|analog"
".vs-iframe-wrap",class,4,shared,"trainer|unique|hw|analog"
".vs-modal",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-backdrop",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-body",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-card",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-close",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-foot",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-head",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-open",class,4,shared,"trainer|unique|hw|analog"
".vs-modal-title",class,4,shared,"trainer|unique|hw|analog"
"#runner",id,4,shared,"trainer|list|hw|analog"
".crumb",class,5,base,"list|stats|my_homeworks_archive|auth_callback|auth_reset"
".print-btn",class,5,base,"trainer|list|unique|hw|hw_create"
".print-btn-icon",class,5,base,"trainer|list|unique|hw|hw_create"
