kind,value,frequency,class,suggested_name
duration,"280ms",1,oneoff,
duration,".08s",1,oneoff,
spacing-px,"10px",94,confirmed,--space-?
spacing-px,"6px",66,confirmed,--space-?
spacing-px,"8px",57,confirmed,--space-?
spacing-px,"12px",52,confirmed,--space-?
spacing-px,"4px",33,confirmed,--space-?
spacing-px,"2px",13,confirmed,--space-?
spacing-px,"14px",8,confirmed,--space-?
spacing-px,"16px",7,confirmed,--space-?
spacing-px,"7px",5,confirmed,--space-?
spacing-px,"15px",5,confirmed,--space-?
spacing-px,"18px",4,confirmed,--space-?
spacing-px,"20px",4,confirmed,--space-?
spacing-px,"22px",4,confirmed,--space-?
spacing-px,"3px",4,confirmed,--space-?
spacing-px,"24px",4,confirmed,--space-?
spacing-px,"1px",4,confirmed,--space-?
spacing-px,"5px",3,confirmed,--space-?
spacing-px,"28px",1,oneoff,
spacing-px,"32px",1,oneoff,
spacing-px,"40px",1,oneoff,
breakpoint,"max-width:640px",4,confirmed,(media, not var)
breakpoint,"max-width:520px",3,confirmed,(media, not var)
breakpoint,"max-width:1024px",3,confirmed,(media, not var)
breakpoint,"max-width:860px",3,confirmed,(media, not var)
breakpoint,"max-width:720px",2,probable,(media, not var)
breakpoint,"max-width:900px",1,oneoff,(media, not var)
breakpoint,"min-width:900px",1,oneoff,(media, not var)
breakpoint,"max-width:600px",1,oneoff,(media, not var)
breakpoint,"max-width:1400px",1,oneoff,(media, not var)
breakpoint,"max-width:1150px",1,oneoff,(media, not var)
breakpoint,"max-width:560px",1,oneoff,(media, not var)
breakpoint,"min-width:1025px",1,oneoff,(media, not var)
