selector,kind,prod_used_count,home_student,home_teacher,trainer,list,unique,hw,hw_create,stats,my_students,student,my_homeworks,my_homeworks_archive,profile,analog,auth,auth_callback,auth_reset,google_complete,smoke_combo,fx_print_css,fx_dialog,fx_dialog_na
".home-section-badges-head",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".home-section-cov",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".home-section-pct",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".home-stats-loading",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".home-topic-badge",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".hrow",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".hw-actions",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-ans-line",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-bell",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".hw-bell--menu",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".hw-bell--top",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".hw-bottom",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-create-ans",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
".hw-panel",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-review-answers",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-review-controls",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".hw-summary-head",class,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".icon-btn",class,4,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
".is-active",class,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
".lime",class,6,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
".link-box",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".link-label",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".link-meta",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".list-meta",class,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".list-meta-right",class,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".meta",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
".modal",class,7,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".modal-actions-simple",class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-backdrop",class,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-badge-group",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-body",class,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-body-simple",class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-card",class,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-date-badge",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-head",class,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-sm",class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-stats-badge",class,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".modal-title",class,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".mode-btn",class,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".mode-toggle",class,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
".muted",class,13,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0
".myhw-actions",class,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
".myhw-actions-row",class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".myhw-badge",class,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
".myhw-card",class,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
".myhw-left",class,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
".myhw-list",class,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
".myhw-meta",class,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
".myhw-right",class,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
".myhw-row",class,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
".myhw-submitted",class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".myhw-title",class,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
".name",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
".nav",class,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".node",class,9,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
".ok",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
".page-head",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".page-head-left",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".page-head-right",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
".panel",class,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
".pct",class,7,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
".picker-grid",class,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".picker-left",class,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".picker-right",class,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".print-ans-line",class,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
".print-btn",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
".print-btn-icon",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".print-btn-label",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
".print-custom-title",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
".print-dialog",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
".print-dialog-actions",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
".print-dialog-cancel",class,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
